X,Y,osm_id,name,type
-98.7077431,35.53524475,229122258,,
-98.7070800055813,35.5356951489644,229122259,Stafford Building,
-98.7100306439022,35.5338567495411,229122260,,
-98.7054834,35.53592475,229122261,,
-98.7053212042706,35.5344134012931,229122262,,
-98.7054069437816,35.5338329510725,229122263,,
-98.7066633881718,35.5364703823276,229122264,,
-98.7063312999652,35.5352557500003,229122265,,
-98.7085211734884,35.5364046486004,229122266,,
-98.7074925600297,35.5375130493167,229122268,,
-98.7058325933414,35.5365074997976,229122269,,
-98.707147701215,35.5342459,229122270,,
-98.7064524617363,35.5374322506241,229122277,,
-98.7098771360216,35.5346189006881,229122278,,
-98.7108798249836,35.5339507498355,229122279,,
-98.7045968499685,35.5335268500004,229122280,,
,,229122281,,
-98.7085024249621,35.5337210992413,229122282,,
-98.708294475021,35.5343511000841,229122284,Al Harris Library,
-98.7083787250295,35.5356732001968,229122285,,
-98.7123816249806,35.5341748998059,229122286,,
-98.71145325,35.53367725,229122287,,
-98.70740915,35.53836815,229122288,,
-98.7114514,35.5334247,229122289,,
-98.7098507815214,35.5362524999143,229122290,,
-98.7081517652904,35.5377609986289,229122291,,
-98.7088030340687,35.5378120501847,229122292,,
-98.7090479940857,35.5352075004735,229122293,Education Building,
-98.7082391504828,35.5337784987047,229122294,,
-98.7059583688087,35.5359897993377,229122295,,
-98.710302200306,35.5352603000047,245694765,,
